,feature,importance
9,sulphates,0.41244965107033243
10,alcohol,0.3067528786175142
1,volatile.acidity,0.18045868138908946
5,free.sulfur.dioxide,0.05466826884090601
8,pH,0.04567052008215793
0,fixed.acidity,0.0
2,citric.acid,0.0
3,residual.sugar,0.0
4,chlorides,0.0
6,total.sulfur.dioxide,0.0
7,density,0.0
